ques,A,B,C,D,E,Ans
"As a part of the preparation for bunkering, we are to empty the fuel oil overflow tank before the bunkering. Why?","A: Check that there are no leaks from valve manifold, into overflow tank",B: In case of an overfilling.,C: To avoid mixing new and old bunker oil,"D: Check that there are no leaks from bunker tanks, into overflow tank.",Don't know,B
"Question: A 2 stroke engine is usually equipped with an auxiliary blower fan, which is supposed to be used:","A. continuously, together with the turbochargers to ensure enough air to the engine during full speed running.","B. during a scavenging fire, to help put out the fire.",C. during manoeuvre and manoeuvre speed condition (arrival and departure),D. during continuously reduced speed under a longer sea voyage.,Don't know,C
Question: A Cargo Ship Construction Certificate will be issued for:,A period not exceeding 6 months,A period not exceeding 24 months,A period not exceeding 12 months,A period not exceeding 48 months,Don't know,C
"Question: A pan on the galley stove containing oil catches fire, which of the following should NOT be used on this type of fire?","A. Raise the alarm, close galley door and wait for the fire teams to arrive.",B. Use water extinguisher to put out the fire.,C. Cover pan with lid and switch of heat source.,D. Cover pan with fire blanket and switch of heat source.,Don't know,B
"Question: A transformer with 10:1 turns ratio and rated 50 kVA, 2400/240 Volts, 60 Hz, is used to step down the voltage to a distribution system. The low tension voltage is to be kept constant at 240 Volts. What load impedance connected to the low-tension side will cause the transformer to be fully loaded?",1.15 Ohms,115 Ohms,C) 2.3 Ohms,D) 230 Ohms,Don't know,C
"Question: After complete shut down of the steam plant, the boiler have been heated in accordance to correct starting up procedure, and is now firing at working pressure. You are going to open the main steam valve to the system. What will be the correct procedure for this operation?",A. Open as fast as possible to get rid of water assembly in the piping system.,B. Don't open the main valve before you have top pressure on the boiler.,"C. Open steam valve very slowly, considering system expansion.",D. Open as fast as possible to heat the piping system.,Don't know,C
Question: Among working conditions listed below which one is required for every propulsion engine of lifeboats?,A. Self-starting and launch procedure simultaneous,B. Propeller permanently driven by the engine,C. For a period of at least 72 hours,D. When the lifeboat is flooded,Don't know,B
Question: An important quantity which is useful in circuit analysis is known as conductance G (Siemens). Which of the formulas A to D expresses the conductance for this circuit?,G=1/R,G=2/R,G=R*I,G=I/R,Don't know,A
"Question: As a fire fighter, what should you always consider when fighting a fire in a confined space?",A. The confined space has only five sides,B. The confined space can be considered to have one side only as heat always rises,C. The confined space has only four sides,D. The confined space always has six sides,Don't know,D
Question: At which point do you engage the main circuit breaker of the incoming alternator when paralleling two alternators?,A In none of the mentioned alternatives,B With the pointer of the synchronizer stopped at any position and both synchronizing lamps bright (on),C With the pointer of the synchroscope at 0° (12 O'clock) and both synchronizing lamps dark (off),D With the pointer of the synchroscope rotating fast and both synchronizing lamps flashing on and off,Don't know,C
