QUES,A,B,C,D,E,Ans
"Question ID: CFGH The watertight integrity of a vessel must be intact, when?",A: Can be relaxed in inshore waters?,B: Can be relaxed during spells of fine weather?,C: In open waters only?,D: When manoeuvring?,E: Don't know,D
Question ID: EWRW *A self contained breathing apparatus should contain at least 1200 litres of air. How long should this last for a normal person who is not carrying out hard work?,A. 15 minutes,B. 30 minutes,C. 45 minutes,D. 60 minutes,E. Don't know,B
Question ID: FQLG Which of the following Meridian figures is correct? Approx. Pos: N30°00' W15°00'. Declination: 15°00'S.,A: Figure 1 is correct.,B: Figure 4 is correct.,C: Figure 3 is correct.,D: Figure 2 is correct.,E: Don't know,B
Question ID: GLKH What is the minimum number of fireman's outfits that must be provided on a tanker?,A. 2,B. 4,C. 1,D. 3,E. Don't know,B
Question ID: HFNQ Who is responsible for maintaining the vessel's structural strength?,A: The flag state administration.,B: The classification society.,C: The master.,D: The management company.,E: Don't know,C
"Question ID: JYMM *Where detectors of a fixed fire detection system are grouped in sections, each of these sections:",A. None of the answers is good,B. May cover more than one main vertical zone in a passenger ship,C. May cover more than one deck within accommodation spaces,D. May cover a machinery space of category A together with a control station,E. Don't know,C
Question ID: KLAT What alarm signal is to be sounded by the alarm bells in case of fire onboard ships?,A. Series of long blasts,B. Series of short blasts,C. Continuous signal,D. One long blast followed by seven short blasts,E. Don't know,C
Question ID: KMTS What should be observed concerning the vessel's stress?,A: Distribution and weight of the containers?,B: Weight of the containers?,C: Distribution of the containers?,D: The vessel's draft and trim?,E: Don't know,A
Question ID: MVGA For which of the following groups of substances or materials is the use of water as an extinguishing agent dangerous?,"A. Wood, rubber, oil","B. Sodium hydrosulphite, potassium hydroxide, magnesium","C. Alcohol, paraffin","D. Gas-oil, oily rags, synthetic textiles",E. Don't know,B
"Question ID: NVQH When planning the distribution of the cargo, what are the most important forces to take in consideration?",A: Only bending moments.,B: Torsion forces.,C: Only shear forces.,D: Shear forces and bending moments.,E: Don't know,D
"Question ID: PBKT You are Sen.Off.Deck on vessel ""A"" and your cargo is iron ore. The vessel is in narrow waters and you have been in a collision with vessel ""B"" causing your vessel to take in water. How will you act to save the vessel and the cargo?",A: Call main office for help,B: Try to discharge the incoming water,C: Navigate the vessel on ground as soon as possible,D: Call tug boats for help,E: Don't know,C
"Question ID: PETM With a ""good"" GPS satellite position fix it is possible to achieve an accuracy of:",A: 2 nautical miles.,B: 1 nautical mile.,C: 250 - 500 meters.,D: 20 - 100 meters.,E: Don't know,D
Question ID: PSXB Give the meaning of the following symbol: ,A. Survival craft distress pyrotechnic signals,B. Rocket parachute flares,C. Line throwing appliance,D. Parachute landing area,E. Don't know,B
"Question ID: PUPO What is correct UTC in this example? Approx. Pos: N49°51' W35°23', zone +2, Local Time 0900.",A: 11 00,B: 23 00,C: 19 00,D: 07 00,E: Don't know,A
"Question ID: TEIE When using a buoy as an aid to navigation, which of the following should always be considered?",A: If no radio navigation warnings have been issued concerning the buoy it can be assumed to be in its correct position,B: That if the light is showing its correct characteristic it is in its right position,C: The buoy may not be in its charted position,D: The buoy is nearly always well anchored and can be considered to be in its charted position providing there has not been any recent storms in the area,E: Don't know,C
Question ID: VMLM Which element must be removed to extinguish a fire?,A. Heat,B. Chain reaction,C. Oxygen,D. Either of the mentioned elements,E. Don't know,D
Question ID: VUET What kind of safety sign(s) needs to be in place in connection with work in radar masts?,A. A sign in the engine control room,B. A sign on all the doors to the bridge,C. A fixed sign on the mast plus signs on each radar when work is in progress in the mast,D. No particular signs,E. Don't know,C
Question ID: YONW Give the meaning of the following symbol: ,A. Fire pump,B. Area protected by sprinkler,C. Sprinkler section valve,D. Fire alarm panel,E. Don't know,B
Question: *Give the meaning of the following symbol,A. Start engine,B. Reverse engine,C. Indicates manual starting direction of the engine,D. Start air supply,E. Don't know,C
Question: *The container for an inflatable liferafts shall be made:,"A. watertight, as far as possible, except for drain holes in the container bottom",B. Completely watertight,C. non-watertight,D. non-watertight if fitted with drain holes in the container bottom,E. Don't know,A
Question: *Which of the following detailed explanations should be mentioned in the Training Manual?,A. The use of escape routes and other escape methods,B. The use of devices for protection in launching areas,C. The use of surface to air visual signals to be used by survivors,D. The use of navigational equipment for survival crafts,E. Don't know,D
"Question: *Which of the following duties shall be included in the ""muster list"" as being assigned to members of the crew?",A. use of communication equipment,B. preparation of manoeuvres intended to ease launching of the survival craft,C. preparation of immersion suits for the ship's passengers,D. operation of the vessel's propulsion system,E. Don't know,A
"Question: At least, how often shall life boats be launched with their assigned operating crew aboard and manoeuvred in the water according to SOLAS?",A Every three months.,B Every two weeks.,C Every month.,D Every week.,E Don't know,A
