QUES,A,B,C,D,E,Ans
"For protection of crew who might come into contact with chemicals in the course of their work, the ship should have suitable equipment such as chemical resistant aprons, gloves, footwear, coveralls, face and eye shields etc. After the days work these should be stowed:","A: In lockers in the accommodation, adjacent to the crew bathrooms, ready for instant use?",B: In the forecastle space?,"C: In suitable lockers easily accessible, yet segregated from the living spaces themselves?",D: At the bottom of the pump room in special lockers?,E: Don't know,C
How many classes is specified in the IMDG-Code?,A: 4,B: 9,C: 3,D: 5,E: Don't know,B
How much time can be saved by use of weather routing?,A 6%,B Impossible to say,C 4%,D 2%,E Don't know,A
In the chemical industry the effect on a person of long term exposure to low concentration of a substance is of prime concern. The expression TLV (Threshold Limit Value) is used to express the concentration of a substance in parts per million that must not be exceeded if a person is exposed to a:,A: 12 hours a day?,B: 8 hours a day?,C: 24 hours a day?,D: 16 hours a day?,E: Don't know,B
In which waters are piracy attacks most frequent?,A Open sea,B Indonesian waters,C Malaysian waters,D Brazilian waters,E Don't know,B
Norwegian merchant and fishing vessels have to participate in the AMVER system. What is the purpose of AMVER?,A: It is an automatic system for plotting vessels for rescue purposes,B: For weather routing,C: It is a NATO reporting system in case of joining a war convoy,D: It is a world wide telecommunication system,E: Don't know,A
Notification logging procedures .(OPA-90),A) Only initial reports to be logged,B) Every report or message must be logged including time and date,C) Only verbal reports for documentation,D) Only communication with USCG,E) Don't know,B
On an OBO or O/O carrier one frequently finds electrical sockets and switches on deck for use of lighting and other electrical apparatus when operating in the dry cargo mode. Before loading oil these should be:,A) Hung with warning signs that they should not be used during the carriage of oil?,B) Electrically isolated by special isolating switchboxes in the accommodation and the keys of these retained by a responsible officer?,C) Covered securely with covers made of an electrically insulating material?,D) Switched off locally on deck?,E) Don't know,B
"On the figure 4 possible definitions of the term ""AIR DRAUGHT"" are given. Which one is the correct one?",A: Air draught is given by D on the figure,B: Air draught is given by B on the figure,C: Air draught is given by C on the figure,D: Air draught is given by A on the figure,E: Don't know,D
"On the figure 4 possible definitions of the term ""FORWARD SPRING"" are given. Which one is the correct one?",A: Forward spring is given by D on the figure,B: Forward spring is given by B on the figure,C: Forward spring is given by C on the figure,D: Forward spring is given by A on the figure,E: Don't know,B
Read the text in the frame before answering the question: What is regarded as a threat to lives at sea and the marine environment?,A: New sophisticated ships manned with traditionally qualified seafarers is a bad combination and we must therefore prevent such ships from continuing in service,B: Old ships are generally in a very bad condition and all efforts should be made to have them removed from the market,C: Ships aged between twenty and thirty years old should not be allowed to operate and should be demolished,D: Bad management and poorly maintained old ships over several years have proven to be fatal,E: Don't know,D
Ship to ship communication during SAR should be executed by?,A VHF and MF,B MF,C Satellite,D VHF,E Don't know,D
"The rudder is hard over, full ahead in deep water. How much lift force remains when the engine is stopped?",A About 20%,B About 20%,C About 50%,D About 80%,E Don't know,A
The vessel is to leave anchorage. You will heave up the anchor but how and to whom will you report the status of the anchor?,A To the officer on duty on the bridge,B No need to report,C To the Chief Officer,D To the master according to his instructions,E Don't know,D
"The vessel's cranes are marked: ""SWL 29,5 tons x 22 M/R (including lifting beam weight 1,5 tons)"". You are going to lift onboard a 28 tons load being placed on the berth. What will be the maximum distance from C/L of crane to the load you are going to lift in order to have a ""safe"" operation?",A: 20 m.,B: 22 m.,"C: 29,5 m.",D: 28 m.,E: Don't know,B
"The watertight integrity of a vessel must be intact, when?",A: Can be relaxed during spells of fine weather?,B: When manoeuvring?,C: In open waters only?,D: Can be relaxed in inshore waters?,E: Don't know,C
