QUES,A,B,C,D,E,Ans,,
Which of the listed requirements for cargo ships regarding personal life-saving appliances does not correspond to present regulations?,Ships fitted with free-fall life-boats may carry thermal protective aids instead of immersion suits.,Self-igniting lights for lifebuoys required on tankers shall be of an electric battery type. (Correct Answer - chemical lights are prohibited on tankers),Ships with a length of 100 metres or less shall carry minimum 8 lifebuoys.,"Cargo ships of less than 85 metres in length shall, as a general rule, carry immersion suits for every person onboard.",Don't know.,B,,
Which item among those below is included in the normal equipment of every lifeboat?,one immersion suit for each person,anti-seasickness medicine and one seasickness bag for each person (Correct Answer),a VHF transceiver,sea-charts and navigating equipment,Don't know.,B,,
An inflatable lifejacket will inflate:,either automatically on immersion or by a single manual motion or by mouth,automatically on immersion,"either automatically on immersion or by a single manual motion (Correct Answer - mouth inflation is a back-up, but the ""inflation mechanism"" refers to the CO2 system)",either automatically on immersion or by mouth,Don't know.,C,,
"How often shall each member of the crew participate in an ""abandon ship""-drill?",Once a year,Once every 6 months,Once every week,Once every month (Correct Answer),Don't know.,D,,
Which one of the listed requirements regarding rocket parachute flares do not correspond to present regulations? The rocket parachute flares shall:,be contained in a water-resistant casing,have integral means of ignition,burn with a bright orange colour (Correct Answer - They must burn with a bright red colour; orange is for smoke signals),have brief instructions clearly illustrating the use of the flare,Don't know.,C,,
Which one of the listed requirements regarding launching appliances for survival crafts and rescue boats do not correspond to present regulations?,All launching appliances shall be capable of recovering survival crafts and rescue boats with their crew (Correct Answer - Only rescue boat appliances are strictly required to recover the craft with crew; survival craft/lifeboat appliances are primarily for launching),The launching mechanism shall be arranged for actuating from a position within the survival craft or rescue boat in addition to a position on the ship's deck,Launching appliances shall be constructed for minimum amount of routine maintenance,Parts requiring regular maintenance by ships crew shall be readily accessible,Don't know.,A,,
Where do you find instructions for tasks and duties in case of an emergency?,In instruction notices posted in the crew's cabins.,"In instruction notices posted in messrooms, recreation rooms etc.",On posters at the lifeboat station.,In the muster list. (Correct Answer),Don't know.,D,,
The muster list shall specify details of general alarm signal and also actions to be taken by crew and passengers when the alarm is sounded. Which of the following actions do not necessarily have to be included in the muster list? The muster list shall:,specify which officers are assigned to ensure that life-saving and fire-fighting appliances are maintained in good condition,specify substitutes for key persons who may become disabled,"be prepared and approved by the Administration before the ship proceeds to sea (Correct Answer - It is prepared by the Master/Company; it doesn't require individual ""approval"" by the Administration for every voyage)",specify how the order to abandon ship will be given,Don't know.,C,,
What kind of safety equipment must be worn during mooring operations?,Dress according to the climate.,All of the mentioned equipment. (Correct Answer),"Safety helmet, safety shoes.","Boiler suit, working gloves.",Don't know.,B,,
Question: Give the meaning of the following symbol,Foam installation,Portable foam installation,Powder installation,Sprinkler installation,Don't know,B,,
What is the correct procedure to extinguish a soot fire in the exhaust boiler?,Increase speed or continue full speed,Reduce speed and use soot blowers if some are fitted,Stop the engine and let the fire burn out by itself,Stop the engine and use the CO2 fixed fire-extinguishing system,Don't know,C,,
"Instructions for ""Preparation for welding or hot work in cargo tanks"" is laid down by the Norwegian Maritime Directorate. During ongoing inspection on work in cargo tanks, the gas concentration shall be checked:",Every fourth hour.,Every hour.,Every 30 minutes.,Every second hour.,Don't know,A,,
"Which one of the given requirements listed below, regarding survival craft muster and embarkation arrangements, listed below, corresponds to the present SOLAS regulations?",muster and embarkation stations shall be readily accessible from accommodation and work areas,searchlights to be provided at the launching station,davit-launched survival craft muster and embarkation stations shall not be arranged to enable stretchers to be placed in survival craft,muster and embarkation stations are to be arranged separately to improve working conditions,Don't know,D,,
"The charge to the cost for a message sent by the Inmarsat-C installation must be calculated. The size of the message is 2,56kbits. The charges message sent is 0,17 SDR per unit. The total charge for the message is:","11 times 0,17 SDR","2,56 times 0,17 SDR",Don't know,"3 times 0,17 SDR",Don't know,C,,
"As a fire fighter, what should you always consider when fighting a fire in a confined space?",The confined space always has six sides,The confined space can be considered to have one side only as heat always rises,The confined space has only five sides,The confined space has only four sides,Don't know,D,,
"On board they want to have a dial-phone call via Inmarsat with the Apollogracht. In the guides the following ID's are found for the Apollogracht: 344320000, 424432010, 424432020, 1300210, 36715. What ID should be chosen:",424432020,Don't know,1300210,424432010,Don't know,C,,
Which fire-fighting equipment is most efficient and with least side effects in case of a large fire in the engine room?,Powder extinguishing system,Central gas extinguishing system and/or waterfog.,Central foam extinguishing system,Sprinkler system,Don't know,D,,
The fire point is,"The minimum temperature at which a combustible gives off vapours that may burn when they are in contact with oxygen in air, when there is a presence of activation energy; but with no capacity of maintaining combustion.","A process of chemical decomposition by oxidation-reduction at unusually high temperature, in areas with slight ventilation.","The minimum temperature at which a combustible gives off vapours that may burn in contact with oxygen in air, and at which combustion persists once the source of ignition has been removed",The maximum pressure that will be reached when a given combustible burns into an enclosed space,Don't know,C,,
A particular vessel is equipped with the possibility to insert CO2 in the scavenging air belt in case of uncontrolled fire. What are the action to be taken in case of fire in the scavenging air belt?,"Reduce the RPM waiting for the fire to burn out, during continuous monitoring of condition.","Continue running the engine on regular speed waiting for the fire to burn out, during continuous monitoring of condition.",Continue running the engine on regular speed inserting CO2 awaiting the fire to burn out.,"Reduce the RPM to reduce the scavenge air temperature. When the temperature is reduced and in case the fire is not extinguished by itself, insert carefully CO2.",Don't know,D,,
You are Sen.Off.Deck on a vessel and you have collided with another vessel which is on fire. What would you do?,Commence arguing with the other Sen.Off.Deck about the reason for the collision,Leave the other vessel because the other vessel was to blame for the collision,"Check own vessel for any loss of life, danger of explosion and offer your assistance to the other vessel",Stay close to the other vessel and commence fire fighting procedures,Don't know,C,,
"When the Sen. Deck Off. of both vessels involved have decided which will be the last lines to let go of whilst unmooring, these lines should be made fast as follows on the ship accepting the lines.","By keeping the rope on the warping drum of a deck winch, fig. 3","By turning up the rope on the bitts, fig. 1","By putting the eye on the bitts, fig. 2","By shackling the eye to a strongpoint, fig. 4",Don't know,D,,
"You are sailing in shallow water, with 15% Under Keel Clearance. How will the stopping distance be, compared to deep water?",About 1 ship-length longer,The same as in all depths,Shorter,Longer,Don't know,D,,
"Your engine is going astern and you pick up sternway. The rudder is midships, and you are operating on a single, right-handed fixed screw. How will your ship react?",She will most likely change heading to port,The stern will be lifted to starboard,She will most likely go straight astern,"She will most likely change heading to starboard (Note: Due to ""transverse thrust"" or ""prop walk,"" the stern typically swings to port, causing the bow/heading to swing to starboard).",Don't know,C,,
During a double banking operation the off-take or smaller vessel generally provides the moorings. If wires are used it is recommended that ropetails are fitted onto the ends of the wires. This is to:,Permit quick cutting in an emergency,Introduce electrical discontinuity between ships,All the listed alternatives,Introduce some elasticity into the lines for shock load absorption,Don't know,C,,
Ship to ship communication during SAR should be executed by?,MF,VHF,Satellite,VHF and MF,Don't know,C,,
What is most important when transferring route plans to other nav. systems?,Both systems use same chart datum,Both systems are approved by the classification society,Both systems work according to specification,Both systems are made by the same manufacturer,Don't know,B,,
Who is responsible for the voyage plan?,The person who has done the planning,The navigation officer,The Master,The owner,Don't know,A,,
Does most piracy attacks take place in territorial or international waters?,Most attacks take place in territorial waters,Most attacks take place in international waters,Number of attacks are approximately 50/50% in international and territorial waters,The most serious attacks take place in international waters,Don't know,B,,
"How many, minimum lines of positions are needed to decide a position using the decca system?",8 lines of position.,2 lines of position.,1 line of position.,6 lines of position.,Don't know,B,,
"Which of the four calculations below is the correct set up, if you want to find observed latitude when the sun is on the meridian?",Calculation 3 is correct.,Calculation 2 is correct.,Calculation 1 is correct.,Calculation 4 is correct.,Don't know,C,,
In celestial navigation the angle measured westward from the first point of aries to the hour circle of the body along the celestial equator is known as:,Azimuth angle,Local sidereal time,Greenwich hour angle,Sidereal hour angle,Don't know,B,,
Your vessel is a laden tanker and has collided with another tanker causing them to interlock. What action/judgement should be taken first of all?,Separate the two vessels immediately,Reduce cargo content by dropping into empty/slack tank,"Take separation of the two vessels into immediate consideration, but consider that a separation may create a larger oil spill",Shut down non-essential air intakes,Don't know,A,,
"You are the Duty officer on vessel ""A"" in US Fairway waters. According to your radar observation you will pass tug ""B"" at which time you will be close to vessel ""D"". How will you make this situation safe?",By steering outside the fairway.,"By passing stern of ""B"" and ""D""",Wait and see how the situation develops,"By reducing your speed until vessel ""D"" is cleared",Don't know,C,,
