QUES,A,B,C,D,E,Ans,
For how long is the health certificate valid for a seafarer in foreign trade?,A No time limit.,B Three months.,C Two years.,D One year.,E Don't know,D,
How to increase the effectiveness of the lookout?,A The lookout to be equipped with binoculars for early identification,B To be briefed about what to expect and when ships and lights should be detected,C The lookout to be posted on the forecastle-head,D To move position frequently to obtain a clear view of the surrounding sea,E Don't know,D,
"How will you act if you are helmsman and after making a turn to port you receive the order: ""Steady as she goes""",A Put the rudder all the way to starboard to stop the turn,B Give counter rudder to stop her and keep the course,C Read off the compass and keep her steady on the course,D Put the rudder midship and wait until she stops,E Don't know,B,
"On the figure 4 possible definitions of the term ""ABEAM"" are shown. Which one is the correct one?",A Abeam is defined as D on the figure,B Abeam is defined as C on the figure,C Abeam is defined as B on the figure,D Abeam is defined as A on the figure,E Don't know,C,
"On the figure 4 possible definitions of the term ""FORWARD SPRING"" are given. Which one is the correct one?",A Forward spring is given by C on the figure,B Forward spring is given by A on the figure,C Forward spring is given by D on the figure,D Forward spring is given by B on the figure,E Don't know,D,
"On the figure 4 possible definitions of the term ""UNDER KEEL CLEARANCE"" are given. Which one is the correct one?",A Under keel clearance is given by D on the figure,B Under keel clearance is given by B on the figure,C Under keel clearance is given by A on the figure,D Under keel clearance is given by C on the figure,E Don't know,B,
Question ID: AMDJ What is most important for the personnel on duty to supervise during a discharging operation including crude oil washing?,A. Check once during every watch.,"B. Act according to the check list ""during crude oil washing"".",C. Have a check every 30 minutes.,D. Nothing in particular.,E. Don't know,B,
Question ID: ESIY You have discovered a small leak of oil at the manifold during discharging. What is you first action?,A. Do not bother.,B. Call the terminal.,C. Call immediately the person in charge.,D. Try to stop the leak.,E. Don't know,C,
Question ID: GSXA What is meant by settling in slop handling?,A. Separation of wax from the oil.,B. The cargo has to settle in the slop tanks.,C. Separation of water and oil.,D. Sediment separation.,E. Don't know,C,
Question ID: HMSW Why is an inertgas system required when COW is undertaken?,A. Higher pumping flowrate?,B. Improved outturn of cargo?,C. Less buildup of sediment in tanks?,D. Safety purpose?,E. Don't know,D,
Question ID: JSIB Why is it important to have good list during final draining?,A. To bring the remaining oil to the stripping suction,B. Not important if you have remote controlled drain valves,C. Makes it easier to maintain good suction on the eductors,D. Suction in centertanks are located on port side,E. Don't know,A,
"Question ID: KVYO Cow lines are a common expression on board, but what does the abbreviation COW mean?",A. Cancelling of washing.,B. Crude over washing,C. Crude oil washing.,D. Completion of washing.,E. Don't know,C,
Question ID: LASX What would be considered as vital areas for the ratings to keep under constant watch during SPM loading operations?,"A. Pump room, engine room, galley, firestations?","B. Forcastle head, manifolds, maindeck?","C. Bridge, cargo control room, poopdeck?","D. A-deck alley way, accommodation ladder, radio station?",E. Don't know,B,
Question ID: LHND What kind of fixed extinguishing plant is installed to use on an oil tanker's engine room and pump room?,A. Powder plant.,B. CO2 plant.,C. Foam plant.,D. Water spray plant.,E. Don't know,B,
Question ID: LSJL What does OBO mean?,A. Oil Bulk Oil.,B. Only Basic Oil.,C. Ore Bulk Oil.,D. Only Bulk Ore.,E. Don't know,C,
Question ID: NXTS What is the correct position/working area for the deck watchman during cargo operation?,A. Stand by in the crew mess?,B. On the weather deck only?,C. In the cargo control room?,D. On the cargo tank area all time?,E. Don't know,D,
Question ID: QCQP During COW what actions are required if delivered inert gas exceeds 8 percent oxygen by volume?,"A. No action to be taken, but try to obtain levels below 8 % by volume?",B. To be ignored as max. oxygen permitted is 18 % by volume?,C. Stop operation?,"D. No action to be taken, as required max. oxygen permitted is 12 % by volume?",E. Don't know,C,
"Question ID: VHXQ Fire protection for tankers of 20,000 dwt and upwards consist of different fixed systems and arrangements. Which of the following systems and arrangements do not correspond to the present regulations?",A. A fixed sprinkler system at the cargo manifold,B. All tankers fitted with a fixed inert gas system shall be provided with a closed ullage system,C. A fixed foam system for cargo deck area,D. A fixed inert gas system for all cargo tanks,E. Don't know,B,
"Question ID: VKXI When re-inerting a cargo tank before commencing air venting, what is the maximum oxygen content in the supplied inert gas(IMO)?",A. 6% by volume.,B. 8% by volume.,C. 10% by volume.,D. 5% by volume.,E. Don't know,B,
"Question ID: WAIY During the ship to ship cargo transfer operation if any considerable amount of oil is spilt and trapped between both ships, where risk of ignition due to incendive sparks caused by metal to metal contact, such as fender support steel nets/chains and shipside do exist, you should:",A. Cast off from the other vessel immediately.,B. Cover the spillage with a layer of foam.,C. Tighten fender wires to minimise fender motion.,"D. Do nothing, let the oil disperse by itself.",E. Don't know,D,
Question ID: WUIO What does ODME mean?,A. Over board Detecting Measure Equipment.,B. Oil Detection Measure Equipment.,C. Oil Detecting - Master Evaluating.,D. Oil Detection Monitoring Equipment.,E. Don't know,B,
Question: A burn may occur when electricity of high current and voltage passes through the body. Most damage occurs at the points of entry and exit of electricity. What is the treatment of electrical burns?,A. Apply lotions and ointment to injured area and secure with a bandage.,B. Remove loose skin and apply ointment. Don't secure with bandage.,C. Place sterile dressing over the burn and secure with a bandage.,D. Break blisters and secure with bandage.,E. Don't know,C,
Question: After smoking cigarettes they should be disposed of as follows:,A. Dropped over the side only if you are certain they are extinguished.,B. Dropped into a waste bin.,C. Dropped over the lee side only so that it cannot blow back on board.,D. Disposed of in an ashtray and ensuring that it is extinguished.,E. Don't know,D,
Question: During ship to ship transfer operations it is common to use the terms ' primary ' and ' secondary ' fenders. ' Primary ' fenders are:,A. Tyre type fenders kept on deck for emergency.,B. Small fenders which are suspended near either ships bow or stern to protect from inadvertent angular contact. Example of fender size: L - 2 m. Dia - 1 m.,C. Large fenders meant for floating between vessels and absorbing considerable impact. Example of fender size: L - 4.5 m. Dia. - 3.3 m.,D. Fenders fixed to the bow of an attending tug (if any).,E. Don't know,C,
"Question: Having a $CO_2$ alarm during normal working hours, what immediate action should be taken?",A. Get out of the engine room as soon as possible.,B. Ignore the alarm.,C. Get into the control room.,D. Awaiting further order.,E. Don't know,D,
Question: How many hand held distress flares are carried in each lifeboat?,A. 12,B. 4,C. 2,D. 6,E. Don't know,A,
Question: How many hand held distress flares are carried in each liferaft?,A. 4,B. 6,C. 2,D. Nil,E. Don't know,D,
Question: How many rocket parachute flares are carried in each lifeboat?,A. Nil,B. 4,C. 6,D. 12,E. Don't know,A,
Question: How much food per person is supplied on a liferaft?,A. Not less than 10000 kJ,B. Not less than 20000 kJ,C. Not less than 5000 kJ,D. None - only barley sugar sweets supplied,E. Don't know,B,
"Question: On the figure 4 possible definitions of the term ""AFT SPRING"" are shown. Which one is the correct one?",A. Aft spring is defined as C on the figure,B. Aft spring is defined as B on the figure,C. Aft spring is defined as D on the figure,D. Aft spring is defined as A on the figure,E. Don't know,D,
"Question: On the figure 4 possible definitions of the term ""AHEAD"" are given. Which one is the correct one?",A. Ahead is given by A on the figure,B. Ahead is given by C on the figure,C. Ahead is given by B on the figure,D. Ahead is given by D on the figure,E. Don't know,B,
"Question: On the figure 4 possible definitions of the term ""ASTERN"" are shown. Which one is the correct one?",A. Astern is defined as C on the figure,B. Astern is defined as A on the figure,C. Astern is defined as B on the figure,D. Astern is defined as D on the figure,E. Don't know,A,
"Question: On the figure 4 possible definitions of the term ""BOLLARD"" are given. Which one is the correct one?",A. Bollard is given by A on the figure,B. Bollard is given by C on the figure,C. Bollard is given by B on the figure,D. Bollard is given by D on the figure,E. Don't know,C,
"Question: On the figure 4 possible definitions of the term ""BREADTH"" are given. Which one is the correct one?",A. Breadth is given by D on the figure,B. Breadth is given by C on the figure,C. Breadth is given by B on the figure,D. Breadth is given by A on the figure,E. Don't know,C,
"Question: On the figure 4 possible definitions of the term ""PORT QUARTER"" are given. Which one is the correct one?",A. Port quarter is given by B on the figure,B. Port quarter is given by A on the figure,C. Port quarter is given by C on the figure,D. Port quarter is given by D on the figure,E. Don't know,D,
Question: The muster list shall show the duties assigned to the different members of the crew. Which of the given duties do not necessarily have to be included in the muster list?,A. Manning of fire parties assigned to deal with fires,B. Preparation and launching of survival crafts,C. Clearing escape routes,D. Muster of passengers,E. Don't know,C,
Question: What do you call the plan on board dealing with the distribution of the crew and their duties at fire fighting?,A. Fire distribution plan.,B. Safety plan,C. Emergency instruction,D. Alarm instruction,E. Don't know,A,
Question: What is the correct definition of: -gangway?,A. The way between two gangs.,B. A way to handle gangs.,C. Portable bridge between ship and shore.,D. A gangway to the waterline.,E. Don't know,C,
Question: What is the correct definition of: -let go?,A. Leave the ship.,B. Cast off the rope.,C. Let the seafarers go ashore.,D. Tight the slack in a rope.,E. Don't know,D,
