ques,A,B,C,D,E,Ans
A clogged/dirty lube oil filter can be detected best by:,A decrease in oil viscosity.,High lube oil temperature.,The pressure drop across the filter.,Visual inspection of the filter elements.,Don't know.,C
A faulty steam trap on a fuel oil heater can cause:,Reduced heat capacity of the heater.,Fuel-oil leak.,Increaded heat capacity of the heater.,Increase oil temperature.,Don't know.,A
"After checked for open airway, given the first two inflations and checked the pulse to make sure that the heart is beating, what is the rate of inflations given until natural breathing is restored?",Doesn't matter how many times.,10 - 12 times per minute.,25 - 27 times per minute,12 -16 times per minute.,Don't know.,B
All fuel oil tanks are vented through a,All alternatives,Gooseneck vent on main deck,Check vent to transfer pump,Check vent to settling tanks,Don't know.,A
An excessive pressure drop across a lube oil strainer could indicate:,Any of the above.,That the relief valve is stuck open.,That the strainer needs cleaning.,That the strainer is ok.,Don't know.,C
"Before leaving the machinery spaces of a UMS vessel after routine watchkeeping rounds in the evening, the duty engineer inspects the doors to Fuel Oil Treatment rooms covered by a fixed fire fighting installation. For what purpose does he do this?",Fasten them open with a hook arrangement to allow for closing them quickly.,Remove the auto closing device so they remain in whatever position they were.,"Tie them open with a rope to prevent the heat from building up inside, and making it unconfortable to work.","Close them to prevent the spread of fire, and allow the extinguishant to be released without timewasting.",Don't know.,D
"Before leaving the machinery spaces of a UMS vessel whose engine room is covered by a fixed CO2 installation, should the duty engineer:",Any of the listed alternatives.,Hook the main entry/exit doors in the open position.,Leave the doors in whatever position they were in.,Ensure all doors are in closed position.,Don't know.,D
"During operation of the main engine, the heat absorbed by lubricating oil is removed by the:",Lube oil cooler.,Scavenge air cooler.,Sump vents.,Any of the above.,Don't know.,A
How many pyrotechnic signals to be in each lifeboat?,8 Rocket parachute flares / 2 hand flares / 6 buoyant smoke signals.,4 Rocket parachute flares / 6 hand flares / 2 buoyant smoke signals.,6 Rocket parachute flares / 6 hand Flares / 6 buoyant smoke signals.,10 Rocket parachute flares / 12 hand flares / 5 buoyant smoke signals.,Don't know.,C
How should the hook be released from a davit lowered liferaft?,Unscrew the shackle pin.,"Just prior to reaching the water, the lanyard should be pulled. This sets the hook which will automatically release once the raft is waterborne.","Wait until the raft is waterborne, then pull the lanyard.",Cut the weak link on the wire with the axe provided.,Don't know.,B
"If a boiler is smoking ""white smoke"" a possible cause can be:",Faulty burner tip,Too high fuel oil pressure,Tool much combustion air,Too little combustion air,Don't know.,D
"In case of fire in the switch board, what kind of extinguisant to be preferred?",Powder,Water spray,Water,CO2,Don't know.,D
In the lubricating oil system on an auxiliary diesel engine a duplex filter unit is used because:,Pressure drop is half of a single filter unit.,It gives a better filtration of the oil.,Clogging of the filter will not occur.,Changing of filter element would not interrupt the engine operation.,Don't know.,C
Is smoking permitted in the engine room? If yes; where?,Smoking is permitted if it is deemed to be safe by the various officers and crew.,Smoking is permitted everywhere in the engine room if it looks safe.,Smoking is only permitted in designated places.,Smoking is not permitted in the engine room.,Don't know.,D
"Quick closing devices operable from upper deck outside the engine room, are provided for all fuel valves connected to the fuel tanks in the engine room.The function of the quick closing devices are checked being in functioning condition during Safety Equipment survey. Would it be advisable to have these --","Yes, the quick closing devices shall be tested an maintained frequently to ensure proper function in case of fire in the engine room.","No, if the quick closing devices are closed the engines will stop.",Checking every renewal of Safety Equipment Certificate (2 years) is sufficient.,Checking once a year is sufficient.,Don't know.,B
Special types of periscopes are fitted to boilers to observe,Combustion air,Water level in drum,Oil atomization,Smoke going out the stack,Don't know.,B
"Tank top in engine room has a high quantity of oil residues floating around. When discovered, what action should be taken?",Apply foam to the tank top to minimise the risk of fire.,"Notify Ch.Eng., find cause of leakage, remedy the leakage and then immediately start cleaning of the tank top.",Open the overboard valve and start the bilge pump.,Start the fire pump.,Don't know.,C
"The centrifugal pump is not delivering water, what is the problem?",Too low speed,Air leaks on suction side,All alternatives,Damaged impeller,Don't know.,B
The deaerating heater is used in?,The closed-type feed-water system.,The open-type feed-water system.,All steam plants.,Only low-pressure boilers.,Don't know.,D
"The duty engineer of a UMS ship is approached by a member of the ship's staff, seeking permission to hang wet working clothes in the engine room to dry. Should he:",Not allow the clothes to be hung anywhere in the unmanned machinery spaces.,Allow the clothes to be hung over a rail provided there is no electrical equipment directly below.,Allow the clothes to be hung over rail next to the warm F.O. service tanks.,Allow the clothes to be hung over a rail anywhere.,Don't know.,B
The purpose of the surface blow valve,Remove air from feed-water.,All alternatives.,Remove any oil or scum on water surface.,Remove sludge and scale from boiler tubes.,Don't know.,C
Under what circumstances can the engineer officer in charge of a watch undertake other duties?,When the ship is in the middle of an ocean and the weather is calm.,When the main propulsion unit controls are in the manual mode of operation.,When he is properly relieved.,When the main propulsion system is under constant surveillance.,Don't know.,B
Water hammer is a shortlasting pressure peak travelling along the pipe. How can it be avoided in a cooling water system?,Operate valves quickly.,Start the system with open valves and empty pipes.,Operate valves gradually.,Start pump with closed valves.,Don't know.,C
What actions shall be taken if any machinery is not functioning properly?,The condition shall be noted and plans for further actions developed.,The special service required shall be carried out immediately.,The operational parameteres shall be verified and the machinery stopped.,The chief engineer officer shall be consulted to avoid any damage to the machinery.,Don't know.,A
What are the compartments to be regularly checked with regard to water and oil leakages?,All those listed in the other alternatives.,Bilge wells.,Tank top in the engine room.,Bilge tank(s).,Don't know.,A
What are the duties of the engineer officer in charge of the watch?,To take appropriate actions to maintain the speed required.,To ensure that the machinery spaces are properly manned.,To keep constant surveillance of machinery and auxiliary systems.,To carry out inspections of the steering gear at least once a watch.,Don't know.,D
What do you call the method used for bone-soft part injuries?,ICE-method,ABC-method.,First Aid-method,REHAB-method,Don't know.,B
What does the 1 Engineer want to have done?,He wants the Fitter to Check the CO 2 equipment.,He wants the heating coils inspected.,He wants the feed water tank inspected.,He wants the feed water tank cleaned.,Don't know.,B
What equipment is provided in a liferaft to help you keep warm in cold weather?,"The floor of the raft has a second layer which can be inflated to help insulation, in addition to the thermal protective aids (10% of complement, minimum 2).",The floor of the raft has a second layer which can be inflated to give additional insulation from the cold water.,At least 10% of the rafts complement with a minimum of 2 thermal protective aids are provided.,Thermal protective aids for each person.,Don't know.,B
"What has to be done before the central gas extinguishing system is used on a fire in engine rooms, cargo holds or other confined spaces?",Make sure that the compartment has been evacuated.,All openings to the compartment must be closed.,Stop all engines.,Close down boilers.,Don't know.,C
What is necessary protection when you are rust chipping with air tools?,"Gloves, goggles, earmuffs.","Protective clothing, safety shoes, gloves, goggles, earmuffs.",Fireman's outfit,"Protective clothing, safety shoes, earmuffs.",Don't know.,A
What is the absolutely main purpose with fighting a fire on board?,Try to put out the fire.,To limit the fire.,Rescuing of life.,To put out the fire.,Don't know.,A
What is the first action to be taken when you have a fire shut down on the boiler?,Call the chief engineer,Notify the bridge,Call the engineer on watch,Stop the feed water pump,Don't know.,A
What is the hydraulic hand pump usually used for?,The hydraulic hand pump is usually used to slack the brake on the windlass.,The hydraulic hand pump is usually used as a converter for the grease nipples.,The hydraulic hand pump is usually used to blow up the fitter.,The hydraulic pump is usually used for tightening the G-nuts.,Don't know.,A
"What is the meaning of ""stand by""?",That the watch keeping personnel shall be ready for starting or manoeuvring the main engine.,That you shall keep on with your work.,That you shall stand very close to the engineer officer.,That you are properly relieved from your duties.,Don't know.,C
What is the meaning of this symbol?,Fasten seat blts,Start air supply,Release falls,Secure hatches,Don't know.,A
What is the primary responsibility of the engineer officer in charge of a watch?,To guarantee proper operation of all equipment.,To carry out periodic inspections.,To ensure safe and efficient operation.,To represent the chief engineer officer.,Don't know.,C
What will the cadet find in the engine store?,He will find new brake bands in the engine store.,He will find The Bosun in the engine store.,He will find the port anchor winch in the engine store.,He won't find anything in the engine store.,Don't know.,C
What will you bring in a lifeboat if the ship is abondoned?,As much biscuit and canned food as possible.,All pets that will most likely not be able to enter the boat by themselves.,"Warm clothes, blankets and lifevests.","All valuables like money, jewelry etc.",Don't know.,B
What would you do before you start soot blowing?,Increase steam pressure slightly,All alternatives,Drain soot-blower lines thoroughly,Notify the bridge,Don't know.,B
When installing a new water gage glass you should secure the bolts from?,From bottom to top,From top to bottom,Does not matter,"Centre, alternately towards each end.",Don't know.,C
When you are cleaning the fuel-oil burner tips you should use?,Steel scraper,Wire brush,Brass knife,Pocket knife,Don't know.,A
"When you light a fire in a boiler, you must always?",Use a proper torch.,Close the air register completely.,Open burner valve only half.,Wait untl it is cold enugh.,Don't know.,C
Where can you find what your dutys are during a life boat drill?,From the drill leader.,Stated at the embarkation station.,Alarm instruction.,Safety plan.,Don't know.,D
Which position is the best to stop bleeding from the nose?,"Sitting on a chair, leaning forward, with two fingers pressing the nose together.","Laying on the back, holding a wet, cold towel on the top of the nose.","Laying on the back, leaning the head as much back as possible.",Holding the nose above steamed water.,Don't know.,D
"You are pumping bilges and the pump suction gage indicates high vacuum. You have a very little discharge flow, what can be the trouble?",A hole in the suction line.,Oil in the bilge.,A glogged bilge strainer.,Broken suction gauge.,Don't know.,C
