ques,A,B,C,D,E,Ans
A centrifugal filter relies on the centrifugal force and cantherefore remove:,Water.,"Low density, sub - micron particles.","High density, sub - micron particles.",Fuel oil from the lubricating oil.,Don't know.,C
A motor is protected by a thermal overcurrent relay. Aftertripping on overload it will not be possible to reset theovercurrent relay because the:,Bimetallic strips need time to cool down,Line contactor spring also has to be reset,Starter isolator automatically applies an interlock.,Oil dash-pot has also to be reset.,Don't know.,A
A self contained breathing apparatus should contain at least1200 litres of air. How long should this last for a normalperson who is not carrying out hard work?,60 minutes,15 minutes,45 minutes,30 minutes,Don't know.,D
"According to SOLAS, every persons assigned to crew therescue boat or assigned to the marine evacuation system partyshall be provided with:",an immersion suit or an anti-exposure suit,an immersion suit,an anti-exposure suit,a thermal protective aid and a lifejacket,Don't know.,A
"As with heat burns the damage of frostbite /hypothermia maybe either superficial or deep, and the affected tissues may bedestroyed. What kind of first aid should be given a person withfrostbite ?",Heat the affected area with hot-water bottles.,Give the casualty a cigarette.,Rub the affected area.,"Hand or body heat the affected parts skin-to-skin
(e.g. frozen hand in persons opposite armpit ... )",Don't know.,D
"Before leaving the machinery spaces of a UMS vessel afterroutine watchkeeping rounds in the evening, the duty engineerinspects the doors to Fuel Oil Treatment rooms covered by afixed fire fighting installation. For what purpose does he dothis?","Tie them open with a rope to prevent the heat from
building up inside, and making it uncomfortable to
work.","Close them to prevent the spread of fire, and allow
the extinguishant to be released without time
wasting.","Close them to prevent the spread of fire, and allow
the extinguishant to be released without time
wasting.","Remove the auto closing device so they remain in
whatever position they were.",Don't know.,B
Centrifugal pumps and displacement pumps differ in severalcharacteristics. Which of the following statements regarding acentrifugal pump is correct?,"A centrifugal pump is designed to take suction from
30 - 35 meters heigth (suction height).","The inlet is in the outer diameter of the impeller
and the pressure discharge is in the center of the
impeller.","A centrifugal pump is always fitted in a vertical
possition.","It is important that the rotation direction is correct
to avoid dry running.",Don't know.,D
"Choose the group of electrical power supplies that best fits theidentification of ""Mains""",Batteries and No. 1 diesel,No. 1 diesel and No. 2 diesel,Emergency diesel and batteries,Shaft generator and emergency diesel,Don't know,D
Cooling water expansion tank in a closed cooling water systemis designed to maintain a constant head on the system and:,Provide an air cushion,That the watch keeping personnel shall be ready for starting or manoeuvring the main engine.,That you shall keep on with your work.,That you shall stand very close to the engineer officer.,That you are properly relieved from your duties.,A
For how long should a tank be ventilated when people areworking inside?,For as long as people are working in the tank.,"For as long as it is deemed necessary by the chief
officer.",For at least 60 minutes.,Until the tank is gas free.,Don't know.,A
Give the meaning of the following symbol:,muster station to davit launched liferaft,liferaft,davit launched liferaftshort period in the centrifuge bowl.,muster station to liferaft,Don't know.,C
