ques,A,B,C,D,E,Answer,
A PH scale (meter or strip of pape) has values from 0 to 14. Which value is neutral?,  10,  14,  7,  0,  Don't know.,C,
"Apart from red, what other colour is frequently used for a dry powder extinguisher?",  Black,  Blue,  Green,  Yellow,  Don't know.,B,
"Based on average consumption, how much beef entrecote would you buy for 90 days for a crew of 30 men?",  75 kg,  35 kg,  15 kg,  120 kg,  Don't know.,A,
Between a complete removal and a renewing of floor polish what can you do to maintain a PVC floor surface?,  Apply an extra layer of polish every month.,  By soft machine scrubbing with red pad and a renewing of polish only where there is heavy traffic (f.i. in the middle of corridors and not the whole floor).,  By using soft machine scrubbing once every fortnight and wash with a solution of water and polish.,  By using the softest of the pads on the disk and dry scrub.,  Don't know.,B,
"Cleaning has certain safety aspects, among other things which?",  Untidy rooms are a safety hazard.,  Cleaning has nothing to do with safety.,  Polished floors are a safety risk.,  Fire is easily spread in dust and trash and wet floors may cause different accidents. ,  Don't know.,D,
Do you need a sink if your ship is provided with a dishwashing machine?,  A sink is always needed irrespective of the type of the dishwashing machine provided.,  Whether a sink is needed depends on the type of the dishwashing machine.,"  No, it is not necessary to sink any dishes.",  A sink can only be used for laundry and should not be connected with a dishwashing machine.,  Don't know.,A,
"From where on board can you find out the different types of protection equipment regarding where placed, how much, how many ans.?",  In the deck log book,  In cargo control room.,  The ship's safety plan,  Stated in your cabin.,  Don't know.,C,
Hindus are not allowed to eat one particular type of meat. Which one?,  Chicken,  Beef,  Lamb ,  Pork,  Don't know.,B,
How many days will fresh cucumbers usually last in cold storage?,  Approx. 18 Days,  Approx. 28 Days,  Approx. 7 Days,  Approx. 12 Days,  Don't know.,C,
How many grams of pure boneless beef would you consider suitable per person for hot dishes/roasts?,  450 gr,  200 gr,  350 gr,  75 gr,  Don't know.,A,
How many hand held distress flares are carried in each lifeboat?,  6,  12,  4,  2,  Don't know.,A,
How many pyrotechnic signals to be in each lifeboat?,"  6 Rocket parachute flares / 6 hand Flares / 6 
buoyant smoke signals","  8 Rocket parachute flares / 2 hand flares / 6 
buoyant smoke signals","  4 Rocket parachute flares / 6 hand flares / 2 
buoyant smoke signals","  10 Rocket parachute flares / 12 hand flares / 5 
buoyant smoke signals",  Don't know.,B,
How will you treat a seasick person?,  Force him to eat any kind of fat food.,  Leave him in bed or request him to have some fresh air.,  Encourage him to drink a lot of lukewarm sea water.,  Make him swallow seasick pills until he stops vomiting.,  Don't know.,B,
"If Mouth - to - Mouth (M-T-M) ventilation by itself is unsuccessful and the casualty's heart stops, or has stopped beating, you must perform External Chest Compression (ECC) in conjunction with M-T-M. When performing ECC, where do you place your hand on the casualty's body?","  Place the heel of one hand, two finger breadths above the bottom of breastbone. Cover the hand with the heel of the other hand.",  The correct position of your hands are of no importance.,  Place the heel of your two hands on the top of the breastbone.,  Place the heel of your hand on the top of the heart position. Cover the hand with the heel of the other hand.,  Don't know.,D,
"If you have to carry out hot work close to a smoke detector in the engine room, what precautions should be taken?",  No special precautions except for having a watch man and a fire extinguisher available.,  Notify deck officer in charge that a fire alarm may occur.,  Disconnect the smoke detector.,"  Notify Master, Deck officer and engineer in charge. The loop for this special sensor to be switched off and take normal precautions for hot work.",  Don't know.,D,
In general cleaning it is recommended and suitable to use cleaning products which are:,  Both alkaline and acid.,  Acid.,  Alkaline.,  Neutral.,  Don't know.,C,
