QUES,A,B,C,D,E,Ans,
 What is the possible position of a ship in distress called?,A: Zero-Point,B: D-Point,C: S-Point,D: R-Point,E: Don't know,B,
For cargo calculations there are two corrections to be made. Two tables are used for this purpose.,A) Cargo calibration tables.,B) Shear and bending tables.,C) List and trim correction tables.,D) Pressure and vacuum tables,E Don't know,C,
Give the meaning of the following symbol,A: muster station to davit launched liferaft,B: liferaft,C: muster station to liferaft,D: davit launched liferaft,E: Don't know,A,
"How can you keep a ship head up into the weather, with the rudder jammed in hard over position?",A: Not possible,B: Careful ahead manoeuvring,C: By applying emergency full astern power,D: By applying astern power,E: Don't know,A,
"How many, minimum lines of positions are needed to decide a position using the decca system?",A) 8 lines of position.,B) 2 lines of position.,C) 1 line of position.,D) 6 lines of position.,E Don't know,B,
How will you treat a seasick person?,A Encourage him to drink a lot of lukewarm sea water.,B Leave him in bed or request him to have some fresh air.,C Force him to eat any kind of fat food.,D Make him swallow seasick pills until he stops vomiting.,E Don't know,B,
"If, during a discharging, a breakdown appears on the inert gas plant, resulting that no inert gas is available to replace the discharging cargo. What will you do?",A Continued with only one cargo pump running.,B Immediately stop the discharging.,C Just slow down and open the tanks to the atmosphere.,D Use the inert fans and blow fresh air into the cargo tanks.,E Don't know,B,
In celestial navigation the angle measured westward from the first point of aries to the hour circle of the body along the celestial equator is known as:,A) Greenwich hour angle,B) Local sidereal time,C) Azimuth angle,D) Sidereal hour angle,E Don't know,A,
In what kind of atmosphere should tank washing be carried out onboard vessels with inert-gas system?,A After the bottom has been covered with salt water.,B After an electric fan have been blowing fresh air into the tank for a minimum time of one hour.,C Inerted to less than 8% oxygen(IMO).,D Steamed to a humidity of at least 75%,E Don't know,C,
"On the figure 4 possible definitions of the term ""DEPTH TO MAIN DECK"" are given. Which one is the correct one?",A) Depth is given by B on the figure,B) Depth is given by A on the figure,C) Depth is given by D on the figure,D) Depth is given by C on the figure,E Don't know,B,
"On the figure 4 possible definitions of the term ""FORWARD"" are given. Which one is the correct one?",A) Forward is given by B on the figure,B) Forward is given by C on the figure,C) Forward is given by A on the figure,D) Forward is given by D on the figure,E Don't know,C,
Shipboard Emergency Drills must be carried out at least (OPA-90),A: Once every six months,B: Once a month,C: Once a week,D: Once a year,E: Don't know,B,
Sun rays and light reflected from a bright surface (e.g. sea); can cause damage to the skin and eyes. What is this type of burn called?,A Dry burns.,B Radiation burns.,C Cold burns.,D Electrical burns.,E Don't know,B,
Treatment of burns and scalds depends on the severity of the injury. What is the correct thing to do for minor burns and scalds?,"A Break blisters, remove any loose skin or foreign objects from the injured area.",B Remove all sticky clothing from the casualty.,"C Place the injured part under slowly running cold water for at least 10 minutes, but preferably until the pain is gone. If no water is available, use any cold, harmless liquid.","D Apply lotions, ointments or fat to the injury.",E Don't know,B,
Two of the ASTM tables give long tons and metric tonnes pr. U.S.BBLs in regards to actual API. Which two tables?,A: Table 5A/B and 6A/B.,B: Table 21 and 52.,C: Table 3 and 21.,D: Table 11 and 13.,E: Don't know,A,
Water Jel is a unique product regarding protection and first aid of burns. Water Jel is delivered in different sizes. Biggest is a carpet with the size 182cm x 152 cm. What is the highest temperature the Water Jel carpet is resistant against?,A 414 C,B 2500 C,C 1530 C,D 823 C,E Don't know,C,
What can be used to reduce the effect of the state of sea-waves?,A: Crude Oil,B: Vegetable / Fish Oil,C: Foam,D: Fuel Oil,E: Don't know,A,
What do we mean with STCW?,A: STCW means Standard Crude Oil Washing,"B: STCW means Standard Training, Certification and Watch keeping","C: STCW means Seafarers' Training, Certification and Watch keeping",D: STCW means Standard Certificated Watch keeper,E: Don't know,B,
What does LEL mean?,A. Lower explosive limit.,B. Limited explosive level.,C. Lower explosive level.,D. Lower exposure level.,E. Don't know,B,
What does UEL mean?,A. Upper expected limit.,B. Upper explosive limit.,C. Upper exposure limit.,D. Upper exposure level.,E. Don't know,C,
What does this signal indicate? ,A: I require assistance,B: A vessel requiring medical assistance,C: A fishing vessel engaged in trawling,D: A fishing vessel whose nets have become entangled on an obstruction,E: Don't know,A,
What is evaporation?,A. A solid substance change to gas.,B. A solid substance change to liquid.,C. A liquid change to gas.,D. A gas change to liquid.,E. Don't know,B,
"What is meant by that the tank atmosphere is ""too rich"" and ""too lean""?","A: Atmosphere is combustible in ""too lean"" status but not in ""too rich"".",B: Atmosphere is combustible in both situations.,"C: Atmosphere is combustible in ""too rich"" status, but not in ""too lean"".",D: Atmosphere is not combustible in either situation.,E: Don't know,B,
What is polymerisation?,"A When unsaturated chemical compounds are cooled down, the molecules react with each other and form large molecules.","B When saturated chemical compounds are depressurised, the molecules react with each other and form large molecules.","C When saturated chemical compounds are heated under pressure, the molecules react with each other and form smaller molecules.","D When unsaturated chemical compounds are heated under pressure, the molecules react with each other and form large molecules.",E Don't know,C,
What is recognized as the main hazard when entering a void space?,A Lack of light?,B Lack of oxygen?,C Lack of mobility?,D No particular hazards?,E Don't know,C,
What is regarded as a threat to lives at sea and the marine environment?,A) Ships aged between twenty and thirty years old should not be allowed to operate and should be demolished,B) Bad management and poorly maintained old ships over several years have proven to be fatal,C) New sophisticated ships manned with traditionally qualified seafarers is a bad combination...,D) Old ships are generally in a very bad condition and all efforts should be made to have them removed...,E Don't know,D,
What is the advantages of a GPS satellite system compared to other navigational aids?,A) The GPS system has a built-in group of six radio-beacons called a Decca chain.,B) The GPS system gives information about weather and waveconditions in the area.,C) The GPS system is based on hyperbola navigation.,"D) The GPS system gives information about position, speed and time continuously world wide.",E Don't know,B,
